Type,, Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label,Type
0,130431,43572,98402809,6,6,11595,391,10136,0,1932.5,4060.245892,373,0,65.16666667,150.8355617,121.8054659,0.121947738,8945709.909,29700000.0,98400000,2,98400000,19700000.0,44000000.0,98400000,190,98400000,19700000.0,44000000.0,98400000,2,0,0,0,0,200,164,0.060973869,0.060973869,0,10136,922.0,2797.669655,7826955.5,0,0,0,0,1,0,0,0,1,998.8333333,1932.5,65.16666667,200,0,0,0,0,0,0,6,11595,6,391,235,229,3,32,10888.0,0.0,10888,10888,98400000.0,0.0,98400000,98400000,BENIGN,0
0,350561,51304,1,2,0,43,0,37,6,21.5,21.92031022,0,0,0.0,0.0,43000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,1,0,0,0,40,0,2000000.0,0.0,6,37,26.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,40.0,21.5,0.0,40,0,0,0,0,0,0,2,43,0,0,295,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,662480,53,178,2,2,62,94,31,31,31.0,0.0,47,47,47.0,0.0,876404.4944,22471.91011,59.33333333,95.84014469,170,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,64,11235.95506,11235.95506,31,47,37.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,46.75,31.0,47.0,64,0,0,0,0,0,0,2,62,2,94,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,432831,53,48304735,2,2,106,305,53,53,53.0,0.0,213,92,152.5,85.55992052,8.508482657,0.082807617,16100000.0,27800000.0,48200000,30587,48300000,48300000.0,0.0,48300000,48300000,48200000,48200000.0,0.0,48200000,48200000,0,0,0,0,40,52,0.041403809,0.041403809,53,213,92.8,69.28347566,4800.2,0,0,0,0,0,0,0,0,1,116.0,53.0,152.5,40,0,0,0,0,0,0,2,106,2,305,-1,-1,1,20,60908.0,0.0,60908,60908,48200000.0,0.0,48200000,48200000,BENIGN,0
0,379920,53,31137,2,2,76,132,38,38,38.0,0.0,66,66,66.0,0.0,6680.155442,128.4645277,10379.0,17931.93676,31085,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,0,0,0,0,64,40,64.23226387,64.23226387,38,66,49.2,15.33623161,235.2,0,0,0,0,0,0,0,0,1,61.5,38.0,66.0,64,0,0,0,0,0,0,2,76,2,132,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,558897,53,208,2,2,72,146,36,36,36.0,0.0,73,73,73.0,0.0,1048076.923,19230.76923,69.33333333,114.0277744,201,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,9615.384615,9615.384615,36,73,50.8,20.26573463,410.7,0,0,0,0,0,0,0,0,1,63.5,36.0,73.0,64,0,0,0,0,0,0,2,72,2,146,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,622083,56854,98,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,122448.9796,20408.16327,98.0,0.0,98,98,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,10204.08163,10204.08163,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,8192,16425,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,46093,53,23467,1,1,62,112,62,62,62.0,0.0,112,112,112.0,0.0,7414.667405,85.22606213,23467.0,0.0,23467,23467,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,42.61303106,42.61303106,62,112,78.66666667,28.86751346,833.3333333,0,0,0,0,0,0,0,0,1,118.0,62.0,112.0,32,0,0,0,0,0,0,1,62,1,112,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,633235,53,166,2,2,46,46,23,23,23.0,0.0,23,23,23.0,0.0,554216.8675,24096.38554,55.33333333,94.10809388,164,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,40,40,12048.19277,12048.19277,23,23,23.0,0.0,0.0,0,0,0,0,0,0,0,0,1,28.75,23.0,23.0,40,0,0,0,0,0,0,2,46,2,46,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,45712,443,95656845,16,14,907,11988,421,0,56.6875,120.1269988,2896,0,856.2857143,887.7234868,134.8047806,0.313621048,3298511.897,17700000.0,95500000,0,95700000,6377123.0,24600000.0,95500000,0,162798,12522.92308,22320.71427,73229,2,0,0,0,0,524,456,0.167264559,0.146356489,0,2896,415.9677419,716.7940422,513793.6989,0,0,0,1,0,0,0,0,0,429.8333333,56.6875,856.2857143,524,0,0,0,0,0,0,16,907,14,11988,65535,972,6,32,177916.0,0.0,177916,177916,95500000.0,0.0,95500000,95500000,BENIGN,0
0,553479,53,51002,2,2,94,196,47,47,47.0,0.0,98,98,98.0,0.0,5686.051527,78.42829693,17000.66667,29439.95626,50995,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,39.21414846,39.21414846,47,98,67.4,27.93385043,780.3,0,0,0,0,0,0,0,0,1,84.25,47.0,98.0,64,0,0,0,0,0,0,2,94,2,196,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,644837,443,74048,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,162.0570441,27.00950735,74048.0,0.0,74048,74048,74048,74048.0,0.0,74048,74048,0,0.0,0.0,0,0,0,0,0,0,40,0,27.00950735,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,255,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,636700,53,184,2,2,76,108,38,38,38.0,0.0,54,54,54.0,0.0,1000000.0,21739.13043,61.33333333,23.09401077,88,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,64,64,10869.56522,10869.56522,38,54,44.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,55.5,38.0,54.0,64,0,0,0,0,0,0,2,76,2,108,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,83143,37664,96256213,2,0,1448,0,1448,0,724.0,1023.890619,0,0,0.0,0.0,15.0431848,0.02077788,96300000.0,0.0,96300000,96300000,96300000,96300000.0,0.0,96300000,96300000,0,0.0,0.0,0,0,0,0,0,0,64,0,0.02077788,0.0,0,1448,482.6666667,836.0031898,698901.3333,0,0,0,0,1,1,0,0,0,724.0,724.0,0.0,64,0,0,0,0,0,0,2,1448,0,0,235,-1,1,32,0.0,0.0,0,0,96300000.0,0.0,96300000,96300000,BENIGN,0
0,401983,53,109415,1,1,53,181,53,53,53.0,0.0,181,181,181.0,0.0,2138.646438,18.27902938,109415.0,0.0,109415,109415,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,32,9.139514692,9.139514692,53,181,95.66666667,73.90083446,5461.333333,0,0,0,0,0,0,0,0,1,143.5,53.0,181.0,40,0,0,0,0,0,0,1,53,1,181,-1,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,54116,123,182,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,1054945.055,21978.02198,60.66666667,63.94789546,130,4,4,4.0,0.0,4,4,48,48.0,0.0,48,48,0,0,0,0,40,40,10989.01099,10989.01099,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,40,0,0,0,0,0,0,2,96,2,96,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,381593,53,503,1,1,77,143,77,77,77.0,0.0,143,143,143.0,0.0,437375.7455,3976.143141,503.0,0.0,503,503,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,1988.071571,1988.071571,77,143,99.0,38.10511777,1452.0,0,0,0,0,0,0,0,0,1,148.5,77.0,143.0,20,0,0,0,0,0,0,1,77,1,143,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,43342,443,1635989,2,0,2230,0,1115,1115,1115.0,0.0,0,0,0.0,0.0,1363.08985,1.222502107,1635989.0,0.0,1635989,1635989,1635989,1635989.0,0.0,1635989,1635989,0,0.0,0.0,0,0,1,0,0,0,64,0,1.222502107,0.0,1115,1115,1115.0,0.0,0.0,0,1,0,0,1,1,0,0,0,1672.5,1115.0,0.0,64,0,0,0,0,0,0,2,2230,0,0,237,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,497317,53,222,2,2,70,444,35,35,35.0,0.0,222,222,222.0,0.0,2315315.315,18018.01802,74.0,121.2435565,214,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,64,9009.009009,9009.009009,35,222,109.8,102.4241183,10490.7,0,0,0,0,0,0,0,0,1,137.25,35.0,222.0,64,0,0,0,0,0,0,2,70,2,444,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,618811,53,182459,2,2,68,208,34,34,34.0,0.0,104,104,104.0,0.0,1512.6686,21.92273333,60819.66667,105339.2887,182455,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,64,40,10.96136666,10.96136666,34,104,62.0,38.34057903,1470.0,0,0,0,0,0,0,0,0,1,77.5,34.0,104.0,64,0,0,0,0,0,0,2,68,2,208,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,43912,443,17376427,20,23,2336,29332,438,0,116.8,168.7344847,2920,0,1275.304348,868.6649336,1822.469027,2.474616905,413724.4524,1703938.892,10000000,2,12400000,653980.0526,2283900.592,10000000,65,17300000,788477.1364,2323525.815,10100000,46,0,0,0,0,412,484,1.150984607,1.323632298,0,2920,719.7272727,863.0588749,744870.6216,0,0,0,1,0,0,0,0,1,736.4651163,116.8,1275.304348,412,0,0,0,0,0,0,20,2336,23,29332,8192,131,19,20,2396365.0,0.0,2396365,2396365,10000000.0,0.0,10000000,10000000,BENIGN,0
0,311664,443,65721145,16,16,2048,4262,1448,0,128.0,364.6051746,1448,0,266.375,521.6445629,96.01171739,0.486905698,2120036.935,4001537.395,10100000,1,62000000,4132625.667,5132343.358,10300000,48,65500000,4369605.867,5039635.022,10300000,191,0,0,0,0,520,520,0.243452849,0.243452849,0,1448,191.2121212,442.5295017,195832.3598,0,0,0,1,0,0,0,0,1,197.1875,128.0,266.375,520,0,0,0,0,0,0,16,2048,16,4262,29200,6428,4,32,275637.5,239910.0296,765334,176510,10100000.0,53747.08457,10100000,9960036,BENIGN,0
0,24358,443,117617575,7,8,658,850,502,6,94.0,181.019336,455,6,106.25,160.4856469,12.82121316,0.127531961,8401255.357,21300000.0,59000000,1,118000000,19600000.0,30300000.0,59000000,397,118000000,16800000.0,28600000.0,59000000,1,1,0,0,0,140,160,0.059514915,0.068017046,6,502,125.625,187.7160533,35237.31667,0,1,0,0,1,0,0,0,1,134.0,94.0,106.25,140,0,0,0,0,0,0,7,658,8,850,257,511,6,20,106943.0,29992.64123,128151,85735,58700000.0,424790.1562,59000000,58400000,BENIGN,0
0,631888,53,30806,2,2,86,198,43,43,43.0,0.0,99,99,99.0,0.0,9218.983315,129.8448354,10268.66667,17780.65624,30800,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,64.92241771,64.92241771,43,99,65.4,30.67246322,940.8,0,0,0,0,0,0,0,0,1,81.75,43.0,99.0,40,0,0,0,0,0,0,2,86,2,198,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,645525,53339,90,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,22222.22222,90.0,0.0,90,90,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,11111.11111,11111.11111,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,130,297,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,435748,80,5404486,3,1,12,0,6,0,4.0,3.464101615,0,0,0.0,0.0,2.220377664,0.740125888,1801495.333,3000054.956,5264722,57,5404486,2702243.0,3623892.555,5264722,139764,0,0.0,0.0,0,0,0,0,0,0,72,32,0.555094416,0.185031472,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,72,0,0,0,0,0,0,3,12,1,0,8192,8190,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,369859,80,3504298,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.856091577,1752149.0,2426480.76,3467930,36368,3504298,3504298.0,0.0,3504298,3504298,0,0.0,0.0,0,0,0,0,0,0,64,32,0.570727718,0.285363859,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,334,407,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,386988,53,60399,1,1,58,282,58,58,58.0,0.0,282,282,282.0,0.0,5629.232272,33.11313101,60399.0,0.0,60399,60399,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,16.55656551,16.55656551,58,282,132.6666667,129.3264603,16725.33333,0,0,0,0,0,0,0,0,1,199.0,58.0,282.0,32,0,0,0,0,0,0,1,58,1,282,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,568181,34402,40,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,300000.0,50000.0,40.0,0.0,40,40,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,25000.0,25000.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,31,297,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,463595,53,186,2,2,96,224,48,48,48.0,0.0,112,112,112.0,0.0,1720430.108,21505.37634,62.0,101.3262059,179,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,10752.68817,10752.68817,48,112,73.6,35.05424368,1228.8,0,0,0,0,0,0,0,0,1,92.0,48.0,112.0,40,0,0,0,0,0,0,2,96,2,224,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,667024,53,237,2,2,84,228,42,42,42.0,0.0,114,114,114.0,0.0,1316455.696,16877.63713,79.0,96.56086164,187,1,1,1.0,0.0,1,1,49,49.0,0.0,49,49,0,0,0,0,40,40,8438.818565,8438.818565,42,114,70.8,39.43602414,1555.2,0,0,0,0,0,0,0,0,1,88.5,42.0,114.0,40,0,0,0,0,0,0,2,84,2,228,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,311005,80,10423437,5,5,455,2744,455,0,91.0,203.482186,1448,0,548.8,753.3944518,306.9045268,0.959376451,1158159.667,3316818.922,9999647,39,423790,105947.5,122178.5727,215216,113,10200000,2552070.25,4966039.866,9999688,218,0,0,0,0,168,168,0.479688226,0.479688226,0,1448,290.8181818,552.5411873,305301.7636,0,0,0,1,0,0,0,0,1,319.9,91.0,548.8,168,0,0,0,0,0,0,5,455,5,2744,29200,122,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,554144,53,107776,2,2,70,206,35,35,35.0,0.0,103,103,103.0,0.0,2560.866983,37.11401425,35925.33333,62218.44044,107769,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,80,64,18.55700713,18.55700713,35,103,62.2,37.24513391,1387.2,0,0,0,0,0,0,0,0,1,77.75,35.0,103.0,80,0,0,0,0,0,0,2,70,2,206,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,2344,49666,14728203,13,9,1464,1798,296,0,112.6153846,125.2414591,424,0,199.7777778,183.6530545,221.479837,1.493732806,701343.0,3199958.943,14700000,-1,14700000,1227350.25,4232424.706,14700000,1,14700000,1841000.375,5206369.318,14700000,1,0,0,0,0,284,204,0.882660295,0.611072512,0,424,141.826087,153.6651176,23612.96838,0,0,0,1,0,0,0,0,0,148.2727273,112.6153846,199.7777778,284,0,0,0,0,0,0,13,1464,9,1798,8192,2051,11,20,61208.0,0.0,61208,61208,14700000.0,0.0,14700000,14700000,BENIGN,0
0,410834,45310,4,2,0,31,0,31,0,15.5,21.92031022,0,0,0.0,0.0,7750000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,1,0,0,0,64,0,500000.0,0.0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,61,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,482085,53,30893,1,1,53,192,53,53,53.0,0.0,192,192,192.0,0.0,7930.599165,64.73958502,30893.0,0.0,30893,30893,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,32.36979251,32.36979251,53,192,99.33333333,80.25168742,6440.333333,0,0,0,0,0,0,0,0,1,149.0,53.0,192.0,32,0,0,0,0,0,0,1,53,1,192,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,465779,443,150320,7,5,376,3508,201,0,53.71428571,78.68653906,1460,0,701.6,731.5646246,25838.21181,79.82969665,13665.45455,19842.32102,51067,41,150320,25053.33333,22446.43991,51067,445,56596,14149.0,25980.36021,53056,48,0,0,0,0,152,112,46.56732304,33.2623736,0,1460,298.7692308,539.9757948,291573.859,0,0,0,1,0,0,0,0,0,323.6666667,53.71428571,701.6,152,0,0,0,0,0,0,7,376,5,3508,8192,60,6,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,372455,53,84401,1,1,45,201,45,45,45.0,0.0,201,201,201.0,0.0,2914.657409,23.6964017,84401.0,0.0,84401,84401,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,40,11.84820085,11.84820085,45,201,97.0,90.06664199,8112.0,0,0,0,0,0,0,0,0,1,145.5,45.0,201.0,32,0,0,0,0,0,0,1,45,1,201,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,8289,443,118173175,15,15,823,4386,207,0,54.86666667,77.74671942,1448,0,292.4,502.6463966,44.07937757,0.25386472,4074937.069,15200000.0,58900000,1,118000000,8440941.071,21400000.0,59000000,25,118000000,8438406.571,21400000.0,59000000,1,0,0,0,0,488,488,0.12693236,0.12693236,0,1448,168.0322581,368.5156246,135803.7656,0,0,0,1,0,0,0,0,1,173.6333333,54.86666667,292.4,488,0,0,0,0,0,0,15,823,15,4386,29200,126,7,32,153292.5,105114.9586,227620,78965,58900000.0,10535.18393,58900000,58900000,BENIGN,0
0,400196,55214,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,4494,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
